rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
167,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,37,37,snapshot_2026_05_12.json
168,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,35,35,snapshot_2026_05_12.json
169,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,32,32,snapshot_2026_05_12.json
170,map,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,31,31,snapshot_2026_05_12.json
171,map,yukina-nakadoori,中通り (Nakadōri),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,31,31,snapshot_2026_05_12.json
172,map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,30,30,snapshot_2026_05_12.json
173,map,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,26,26,snapshot_2026_05_12.json
174,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,23,23,snapshot_2026_05_12.json
175,map,syracuse-ny,"Syracuse, NY",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,22,22,snapshot_2026_05_12.json
176,map,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,20,20,snapshot_2026_05_12.json
177,map,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,17,17,snapshot_2026_05_12.json
178,map,ipoh,Ipoh,nzh0172,naz,https://github.com/nzh0172,16,16,snapshot_2026_05_12.json
179,map,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,15,15,snapshot_2026_05_12.json
180,map,yukina-morioka,盛岡 (Morioka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,snapshot_2026_05_12.json
181,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,10,10,snapshot_2026_05_12.json
182,map,yukina-tottori,鳥取 (Tottori),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,10,10,snapshot_2026_05_12.json
183,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,6,6,snapshot_2026_05_12.json
184,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,4,4,snapshot_2026_05_12.json
