date_or_hour,metric,visits
2026-05-08,PT,1
2026-05-08,SG,4
2026-05-08,US,105
2026-05-09,AU,8
2026-05-09,BE,385
2026-05-09,CA,14
2026-05-09,CH,1
2026-05-09,DE,4
2026-05-09,DK,6
2026-05-09,ES,1
2026-05-09,FR,4
2026-05-09,GB,21
2026-05-09,ID,2
2026-05-09,IT,12
2026-05-09,KR,5
2026-05-09,NL,1
2026-05-09,NZ,6
2026-05-09,PL,10
2026-05-09,SE,2
2026-05-09,SG,26
2026-05-09,TH,1
2026-05-09,US,117
2026-05-10,AU,2
2026-05-10,CA,1
2026-05-10,CH,7
2026-05-10,CN,1
2026-05-10,CZ,9
2026-05-10,DE,6
2026-05-10,DK,1
2026-05-10,ES,2
2026-05-10,FR,7
2026-05-10,HU,3
2026-05-10,ID,1
2026-05-10,IL,10
2026-05-10,IT,1
2026-05-10,KR,4
2026-05-10,MY,1
2026-05-10,NL,1
2026-05-10,PE,2
2026-05-10,PL,2
2026-05-10,PR,1
2026-05-10,RU,1
2026-05-10,SE,3
2026-05-10,SG,5
2026-05-10,T1,1
2026-05-10,TH,3
2026-05-10,TW,1
2026-05-10,US,72
2026-05-11,AR,2
2026-05-11,AU,2
2026-05-11,CA,4
2026-05-11,CH,2
2026-05-11,CN,1
2026-05-11,CZ,1
2026-05-11,DE,1
2026-05-11,ES,2
2026-05-11,FR,2
2026-05-11,GB,6
2026-05-11,HU,1
2026-05-11,ID,3
2026-05-11,IL,1
2026-05-11,IT,1
2026-05-11,NL,7
2026-05-11,NO,7
2026-05-11,SG,1
2026-05-11,US,67
2026-05-12,AU,1
2026-05-12,BE,20
2026-05-12,BR,2
2026-05-12,CA,7
2026-05-12,CN,1
2026-05-12,DE,4
2026-05-12,ES,9
2026-05-12,GB,16
2026-05-12,HK,1
2026-05-12,IE,1
2026-05-12,IN,4
2026-05-12,IS,4
2026-05-12,IT,3
2026-05-12,KR,1
2026-05-12,MX,7
2026-05-12,MY,1
2026-05-12,NL,3
2026-05-12,NO,1
2026-05-12,PL,5
2026-05-12,SG,1
2026-05-12,TW,1
2026-05-12,UA,2
2026-05-12,US,95
2026-05-13,AU,2
2026-05-13,CA,10
2026-05-13,CZ,2
2026-05-13,DE,8
2026-05-13,ES,1
2026-05-13,FR,1
2026-05-13,GB,10
2026-05-13,HK,2
2026-05-13,IT,1
2026-05-13,MX,2
2026-05-13,PL,1
2026-05-13,SG,4
2026-05-13,TW,1
2026-05-13,US,30
2026-05-14,BA,1
2026-05-14,BE,4
2026-05-14,BR,2
2026-05-14,CA,10
2026-05-14,CN,2
2026-05-14,DE,9
2026-05-14,FR,2
2026-05-14,GB,6
2026-05-14,HK,2
2026-05-14,HU,1
2026-05-14,MX,1
2026-05-14,PT,3
2026-05-14,RU,1
2026-05-14,SG,2
2026-05-14,US,50
2026-05-15,AT,1
2026-05-15,BE,4
2026-05-15,BR,1
2026-05-15,CA,5
2026-05-15,CN,18
2026-05-15,CY,1
2026-05-15,CZ,2
2026-05-15,DE,9
2026-05-15,DK,1
2026-05-15,ES,1
2026-05-15,GB,12
2026-05-15,HK,2
2026-05-15,IL,1
2026-05-15,IT,2
2026-05-15,KZ,1
2026-05-15,NL,1
2026-05-15,NZ,1
2026-05-15,PL,9
2026-05-15,SE,2
2026-05-15,SG,1
2026-05-15,SK,5
2026-05-15,T1,1
2026-05-15,US,72
2026-05-16,AU,1
2026-05-16,BE,1
2026-05-16,CA,9
2026-05-16,CH,2
2026-05-16,CZ,7
2026-05-16,DK,5
2026-05-16,FI,1
2026-05-16,FR,1
2026-05-16,GB,1
2026-05-16,IL,2
2026-05-16,IT,2
2026-05-16,JP,1
2026-05-16,KR,1
2026-05-16,NL,4
2026-05-16,PL,1
2026-05-16,PT,3
2026-05-16,RU,4
2026-05-16,SE,7
2026-05-16,SG,3
2026-05-16,TR,1
2026-05-16,UA,1
2026-05-16,US,93
2026-05-17,AT,1
2026-05-17,AU,8
2026-05-17,BR,2
2026-05-17,CA,6
2026-05-17,CN,4
2026-05-17,CZ,2
2026-05-17,DE,3
2026-05-17,ES,1
2026-05-17,GB,6
2026-05-17,IE,1
2026-05-17,IL,1
2026-05-17,IT,2
2026-05-17,JP,1
2026-05-17,NL,4
2026-05-17,SE,1
2026-05-17,SG,5
2026-05-17,T1,1
2026-05-17,TW,1
2026-05-17,US,68
2026-05-17,VN,50
2026-05-18,AU,11
2026-05-18,BA,1
2026-05-18,BE,1
2026-05-18,BR,1
2026-05-18,CA,2
2026-05-18,ES,3
2026-05-18,FR,1
2026-05-18,HK,5
2026-05-18,HU,3
2026-05-18,IE,3
2026-05-18,IT,4
2026-05-18,KR,2
2026-05-18,NL,2
2026-05-18,PL,2
2026-05-18,SE,2
2026-05-18,SG,2
2026-05-18,US,47
2026-05-19,AT,1
2026-05-19,AU,3
2026-05-19,BR,1
2026-05-19,CH,6
2026-05-19,CY,1
2026-05-19,CZ,1
2026-05-19,DE,7
2026-05-19,DK,2
2026-05-19,ES,9
2026-05-19,FR,1
2026-05-19,GB,16
2026-05-19,HU,2
2026-05-19,IN,1
2026-05-19,IT,3
2026-05-19,LT,1
2026-05-19,NL,9
2026-05-19,NZ,1
2026-05-19,SE,2
2026-05-19,SG,3
2026-05-19,US,74
2026-05-20,AR,1
2026-05-20,BR,1
2026-05-20,CA,2
2026-05-20,CN,1
2026-05-20,DE,7
2026-05-20,ES,1
2026-05-20,FR,1
2026-05-20,GB,5
2026-05-20,IN,1
2026-05-20,MX,1
2026-05-20,NL,2
2026-05-20,TN,1
2026-05-20,US,57
2026-05-21,BE,5
2026-05-21,CA,9
2026-05-21,CN,4
2026-05-21,DE,5
2026-05-21,ES,1
2026-05-21,GB,4
2026-05-21,IL,2
2026-05-21,IN,2
2026-05-21,LV,1
2026-05-21,NL,3
2026-05-21,SG,1
2026-05-21,US,71
2026-05-22,AU,1
2026-05-22,BA,4
2026-05-22,CA,6
2026-05-22,CN,3
2026-05-22,DE,14
2026-05-22,FR,5
2026-05-22,GB,7
2026-05-22,IN,1
2026-05-22,NL,1
2026-05-22,NZ,3
2026-05-22,PT,1
2026-05-22,SG,5
2026-05-22,TW,1
2026-05-22,US,84
2026-05-23,BE,2
2026-05-23,CA,11
2026-05-23,CN,1
2026-05-23,CZ,5
2026-05-23,DE,5
2026-05-23,ES,1
2026-05-23,FR,6
2026-05-23,GB,5
2026-05-23,HK,1
2026-05-23,KR,2
2026-05-23,MX,1
2026-05-23,NL,3
2026-05-23,PL,1
2026-05-23,PT,3
2026-05-23,RU,1
2026-05-23,SG,5
2026-05-23,TH,2
2026-05-23,US,86
2026-05-23,VN,2
2026-05-24,AT,2
2026-05-24,AU,3
2026-05-24,BA,3
2026-05-24,BE,1
2026-05-24,CA,19
2026-05-24,CN,3
2026-05-24,CZ,3
2026-05-24,DE,9
2026-05-24,ES,4
2026-05-24,FR,5
2026-05-24,GB,28
2026-05-24,GR,3
2026-05-24,HK,1
2026-05-24,HU,3
2026-05-24,ID,2
2026-05-24,IL,13
2026-05-24,IN,4
2026-05-24,IT,1
2026-05-24,KR,10
2026-05-24,NL,2
2026-05-24,PK,1
2026-05-24,PL,9
2026-05-24,RO,2
2026-05-24,SE,1
2026-05-24,SG,3
2026-05-24,T1,1
2026-05-24,TW,10
2026-05-24,US,115
2026-05-25,AU,1
2026-05-25,BA,3
2026-05-25,CA,19
2026-05-25,CN,2
2026-05-25,DE,27
2026-05-25,DK,3
2026-05-25,ES,3
2026-05-25,FR,1
2026-05-25,GB,2
2026-05-25,IN,2
2026-05-25,IT,1
2026-05-25,MX,1
2026-05-25,NL,5
2026-05-25,NO,4
2026-05-25,PL,6
2026-05-25,PT,1
2026-05-25,SA,1
2026-05-25,SE,6
2026-05-25,SG,1
2026-05-25,TH,1
2026-05-25,TR,2
2026-05-25,US,78
2026-05-25,VN,1
2026-05-26,AU,5
2026-05-26,BR,1
2026-05-26,BY,1
2026-05-26,CA,15
2026-05-26,CN,18
2026-05-26,DE,3
2026-05-26,FR,2
2026-05-26,HK,1
2026-05-26,ID,1
2026-05-26,IE,1
2026-05-26,NL,2
2026-05-26,PE,1
2026-05-26,PL,5
2026-05-26,RU,1
2026-05-26,SE,2
2026-05-26,SG,2
2026-05-26,TW,4
2026-05-26,US,54
2026-05-26,VN,1
2026-05-27,BA,1
2026-05-27,BE,1
2026-05-27,BR,2
2026-05-27,CA,12
2026-05-27,CN,2
2026-05-27,CZ,1
2026-05-27,DO,5
2026-05-27,FR,3
2026-05-27,GB,8
2026-05-27,HK,1
2026-05-27,ID,1
2026-05-27,IL,1
2026-05-27,IN,1
2026-05-27,MX,1
2026-05-27,MY,11
2026-05-27,NL,1
2026-05-27,PL,6
2026-05-27,PT,1
2026-05-27,QA,2
2026-05-27,RU,5
2026-05-27,SG,2
2026-05-27,TR,2
2026-05-27,US,68
2026-05-27,VN,3
2026-05-28,AR,1
2026-05-28,AU,1
2026-05-28,CA,14
2026-05-28,CH,2
2026-05-28,DE,5
2026-05-28,ES,2
2026-05-28,FI,9
2026-05-28,FR,2
2026-05-28,GB,10
2026-05-28,HK,1
2026-05-28,IN,1
2026-05-28,KR,2
2026-05-28,NZ,7
2026-05-28,PL,5
